season;ranking;country;avg_goals_per_match_home
2008/2009;1;Switzerland;3
2008/2009;2;Germany;2.92
2008/2009;3;Spain;2.9
2009/2010;1;Switzerland;3.33
2009/2010;2;Netherlands;2.92
2009/2010;3;Germany;2.83
2010/2011;1;Netherlands;3.23
2010/2011;2;Switzerland;2.98
2010/2011;3;Germany;2.92
2011/2012;1;Netherlands;3.26
2011/2012;2;Belgium;2.88
2011/2012;3;Germany;2.86
2012/2013;1;Netherlands;3.15
2012/2013;2;Belgium;2.93
2012/2013;3;Germany;2.93
2013/2014;1;Netherlands;3.2
2013/2014;2;Germany;3.16
2013/2014;3;Switzerland;2.89
2014/2015;1;Netherlands;3.08
2014/2015;2;Switzerland;2.87
2014/2015;3;Belgium;2.78
2015/2016;1;Switzerland;3.14
2015/2016;2;Netherlands;2.98
2015/2016;3;Belgium;2.89
