analysis_name;range;ranking;player_name;overall_rating
Peso;100-150;1;Neymar;90
Peso;100-150;2;Andres Iniesta;88
Peso;100-150;3;Luka Modric;87
Peso;100-150;4;Philipp Lahm;87
Peso;100-150;5;Alexis Sanchez;86
Peso;100-150;6;David Silva;86
Peso;151-200;1;Lionel Messi;94
Peso;151-200;2;Cristiano Ronaldo;93
Peso;151-200;3;Luis Suarez;90
Peso;151-200;4;Arjen Robben;89
Peso;151-200;5;Eden Hazard;88
Peso;151-200;6;Mesut Oezil;88
Peso;200-250;1;Manuel Neuer;90
Peso;200-250;2;Zlatan Ibrahimovic;89
Peso;200-250;3;Mats Hummels;86
Peso;200-250;4;Gianluigi Buffon;84
Peso;200-250;5;Joe Hart;84
Peso;200-250;6;Mehdi Benatia;83
