year;month;end_of_week;avg_goals_per_match_home;home_avg_growth %;avg_goals_per_match_away;away_avg_growth %
2016;05;2016-05-29;1.6;-0.0244;1.4;-0.0345
2016;05;2016-05-22;1.64;-0.18;1.45;0.0821
2016;05;2016-05-15;2;0.3605;1.34;-0.0219
2016;05;2016-05-08;1.47;-0.0392;1.37;0.0873
2016;05;2016-05-01;1.53;-0.1453;1.26;0.1351
2016;04;2016-04-24;1.79;0.1548;1.11;-0.1654
2016;04;2016-04-17;1.55;0.0473;1.33;0.33
2016;04;2016-04-10;1.48;-0.1778;1;-0.2481
2016;04;2016-04-03;1.8;0.4286;1.33;0.0231
2016;03;2016-03-20;1.26;-0.2364;1.3;0.1404
2016;03;2016-03-13;1.65;0.1074;1.14;-0.0172
2016;03;2016-03-06;1.49;0.042;1.16;-0.0252
2016;02;2016-02-28;1.43;-0.2056;1.19;0.0721
2016;02;2016-02-21;1.8;0.1111;1.11;-0.2014
2016;02;2016-02-14;1.62;0.3388;1.39;0.2087
2016;02;2016-02-07;1.21;-0.2194;1.15;-0.0496
2016;01;2016-01-31;1.55;-0.1667;1.21;-0.0397
2016;01;2016-01-24;1.86;0.0449;1.26;-0.1064
2016;01;2016-01-17;1.78;0.1125;1.41;0.0444
2016;01;2016-01-10;1.6;0.0811;1.35;0.2273
2016;01;2016-01-03;1.48;-0.0976;1.1;0.1458
2015;12;2015-12-27;1.64;0.0061;0.96;-0.2558
2015;12;2015-12-20;1.63;0.0795;1.29;0.2056
2015;12;2015-12-13;1.51;0.1439;1.07;-0.0776
2015;12;2015-12-06;1.32;-0.1951;1.16;-0.1471
2015;11;2015-11-29;1.64;0.0186;1.36;0.088
2015;11;2015-11-22;1.61;0.61;1.25;0.25
2015;11;2015-11-15;1;-0.2754;1;-0.1228
2015;11;2015-11-08;1.38;-0.0282;1.14;0.0088
2015;11;2015-11-01;1.42;-0.007;1.13;-0.124
2015;10;2015-10-25;1.43;-0.0069;1.29;-0.0077
2015;10;2015-10-18;1.44;-0.1429;1.3;0.1818
2015;10;2015-10-04;1.68;0.05;1.1;-0.0598
2015;09;2015-09-27;1.6;0.1111;1.17;0.0446
2015;09;2015-09-20;1.44;-0.071;1.12;-0.1642
2015;09;2015-09-13;1.55;2.1;1.34;1.68
2015;09;2015-09-06;0.5;-0.7006;0.5;-0.5192
2015;08;2015-08-30;1.67;0.3917;1.04;-0.0877
2015;08;2015-08-23;1.2;-0.2727;1.14;-0.0732
2015;08;2015-08-16;1.65;0.4474;1.23;0.025
2015;08;2015-08-09;1.14;-0.1429;1.2;0.0084
2015;08;2015-08-02;1.33;-0.3179;1.19;0.0818
2015;07;2015-07-26;1.95;0.3732;1.1;-0.3714
2015;07;2015-07-19;1.42;-0.4836;1.75;0.0294
2015;05;2015-05-31;2.75;0.4249;1.7;0.4912
2015;05;2015-05-24;1.93;0.2614;1.14;-0.1679
2015;05;2015-05-17;1.53;-0.0783;1.37;0.181
2015;05;2015-05-10;1.66;0.044;1.16;-0.0252
2015;05;2015-05-03;1.59;0.1866;1.19;-0.0246
2015;04;2015-04-26;1.34;-0.0074;1.22;0.4524
2015;04;2015-04-19;1.35;-0.1818;0.84;-0.2364
2015;04;2015-04-12;1.65;0.1074;1.1;-0.1667
2015;04;2015-04-05;1.49;0;1.32;0
2015;03;2015-03-29;0;-1;0;-1
2015;03;2015-03-22;1.42;-0.1069;1.1;0.068
2015;03;2015-03-15;1.59;0.0392;1.03;-0.1121
2015;03;2015-03-08;1.53;0.0929;1.16;0.3488
2015;03;2015-03-01;1.4;-0.0968;0.86;-0.3008
2015;02;2015-02-22;1.55;0.0131;1.23;0.0513
2015;02;2015-02-15;1.53;0.1333;1.17;0
2015;02;2015-02-08;1.35;-0.1234;1.17;0.2857
2015;02;2015-02-01;1.54;0.0694;0.91;-0.0319
2015;01;2015-01-25;1.44;0.0511;0.94;-0.4051
2015;01;2015-01-18;1.37;-0.0987;1.58;0.7174
2015;01;2015-01-11;1.52;-0.1784;0.92;-0.2813
2015;01;2015-01-04;1.85;0.6228;1.28;0.0667
2014;12;2014-12-28;1.14;-0.1972;1.2;0.0619
2014;12;2014-12-21;1.42;0.0071;1.13;0.018
