id;team_fifa_api_id;team_api_id;date;buildUpPlaySpeed;buildUpPlaySpeedClass;buildUpPlayDribbling;buildUpPlayDribblingClass;buildUpPlayPassing;buildUpPlayPassingClass;buildUpPlayPositioningClass;chanceCreationPassing;chanceCreationPassingClass;chanceCreationCrossing;chanceCreationCrossingClass;chanceCreationShooting;chanceCreationShootingClass;chanceCreationPositioningClass;defencePressure;defencePressureClass;defenceAggression;defenceAggressionClass;defenceTeamWidth;defenceTeamWidthClass;defenceDefenderLineClass
2;434;9930;2014-09-19 00:00:00;52;Balanced;48;Normal;56;Mixed;Organised;54;Normal;63;Normal;64;Normal;Organised;47;Medium;44;Press;54;Normal;Cover
3;434;9930;2015-09-10 00:00:00;47;Balanced;41;Normal;54;Mixed;Organised;54;Normal;63;Normal;64;Normal;Organised;47;Medium;44;Press;54;Normal;Cover
8;77;8485;2014-09-19 00:00:00;58;Balanced;64;Normal;62;Mixed;Organised;56;Normal;68;Lots;57;Normal;Organised;41;Medium;42;Press;60;Normal;Cover
9;77;8485;2015-09-10 00:00:00;59;Balanced;64;Normal;53;Mixed;Organised;51;Normal;72;Lots;63;Normal;Free Form;49;Medium;45;Press;63;Normal;Cover
14;614;8576;2014-09-19 00:00:00;59;Balanced;57;Normal;52;Mixed;Organised;48;Normal;38;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
15;614;8576;2015-09-10 00:00:00;59;Balanced;57;Normal;52;Mixed;Organised;48;Normal;38;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
20;47;8564;2014-09-19 00:00:00;48;Balanced;70;Lots;52;Mixed;Organised;66;Normal;36;Normal;75;Lots;Organised;58;Medium;57;Press;49;Normal;Cover
21;47;8564;2015-09-10 00:00:00;48;Balanced;70;Lots;52;Mixed;Organised;66;Normal;36;Normal;69;Lots;Organised;58;Medium;57;Press;49;Normal;Cover
26;1901;10215;2014-09-19 00:00:00;52;Balanced;53;Normal;44;Mixed;Organised;55;Normal;51;Normal;60;Normal;Organised;39;Medium;38;Press;61;Normal;Cover
27;1901;10215;2015-09-10 00:00:00;53;Balanced;53;Normal;44;Mixed;Organised;55;Normal;51;Normal;60;Normal;Organised;39;Medium;38;Press;61;Normal;Cover
32;650;10217;2014-09-19 00:00:00;58;Balanced;47;Normal;55;Mixed;Organised;55;Normal;52;Normal;44;Normal;Organised;57;Medium;50;Press;52;Normal;Cover
33;650;10217;2015-09-10 00:00:00;56;Balanced;40;Normal;66;Mixed;Organised;55;Normal;52;Normal;38;Normal;Organised;40;Medium;50;Press;52;Normal;Cover
38;245;8593;2014-09-19 00:00:00;40;Balanced;40;Normal;30;Short;Organised;51;Normal;55;Normal;39;Normal;Free Form;64;Medium;53;Press;64;Normal;Cover
39;245;8593;2015-09-10 00:00:00;35;Balanced;43;Normal;39;Mixed;Organised;58;Normal;55;Normal;30;Little;Free Form;64;Medium;53;Press;59;Normal;Cover
44;1861;9865;2014-09-19 00:00:00;46;Balanced;41;Normal;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
45;1861;9865;2015-09-10 00:00:00;46;Balanced;41;Normal;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
